step,avg_interval_loss,train_ppl,lr,grad_norm,interval_sec,steps_per_sec,sec_per_step,examples_seen,approx_epochs,batch_input_len,batch_label_len,cuda_mem_alloc_gb,cuda_mem_peak_gb,text_eval_sec,text_samples,text_batches,bleu,chrf,comet,bleu_en_to_ar,bleu_ar_to_en,chrf_en_to_ar,chrf_ar_to_en
2000,5.103633738309145,164.61900417788814,0.00029845372238599527,1.6939172744750977,17.87896990776062,2.2372653573647683,0.4469742476940155,256000,0.17182914813014985,25,20,0.835935115814209,2.747465133666992,4.1651482582092285,64,4,0.5800150456208938,10.452718719318254,,0.44136714284853096,0.6804816571825215,10.605014349590826,10.337699954546629
2040,5.0833866685628895,161.31946741221088,0.00029837143469511976,1.6528092622756958,66.93581986427307,0.5975873617609928,1.6733954966068267,261120,0.17526573109275284,29,28,0.8513178825378418,2.747465133666992,5.774381637573242,64,4,0.6735382084373736,11.381351970231304,,0.36632047340393303,0.9571622503910718,10.616736590535341,12.059301098827227
2080,5.072713421285153,159.6068208543512,0.00029828702713263696,1.7512598037719727,18.093677043914795,2.210717031309712,0.4523419260978699,266240,0.17870231405535583,24,19,0.8339962959289551,2.747465133666992,4.490213394165039,64,4,0.728341031583193,11.156913461692392,,0.21379840390100954,1.1040218608768384,10.00587223389758,12.007787903821786
2120,5.006329270452261,149.35548509747935,0.0002982005010401624,1.6835343837738037,18.279988527297974,2.188185180765676,0.45699971318244936,271360,0.18213889701795882,69,70,0.9326620101928711,2.747465133666992,4.58209753036499,64,4,0.9323229231080937,12.60798098173618,,0.5643166703046246,1.2043266846664757,11.636041371890714,13.238913483862591
2160,5.0178985826671125,151.09345953454837,0.00029811185779298475,1.7283406257629395,18.318575859069824,2.1835758580651534,0.45796439647674564,276480,0.1855754799805618,21,21,0.8377199172973633,2.747465133666992,4.621782064437866,64,4,0.6218863720796919,13.244761728409513,,0.20295109718122162,1.0181463771867767,12.424648072392355,14.240052088874577
2200,4.986604410409927,146.43833383828036,0.0002980210988000436,1.7793262004852295,18.18173861503601,2.2000096276227747,0.4545434653759003,281600,0.18901206294316483,24,23,0.8416261672973633,2.747465133666992,4.820210218429565,64,4,0.6148808706203446,11.360972148307294,,0.19695396536640142,0.9329438050975272,11.849693350200178,11.044059943923145
2240,4.909746964275837,135.60509713294675,0.0002979282255039072,1.8010348081588745,18.071857690811157,2.2133861766927514,0.45179644227027893,286720,0.19244864590576782,18,20,0.8357195854187012,2.747465133666992,4.717522859573364,64,4,0.6824265704892872,12.364976727672012,,0.4904961832900372,0.8456177314533915,11.994838915655844,12.676455141866427
2280,4.8630305893719195,129.41581459159207,0.0002978332393807498,1.8996281623840332,18.803285598754883,2.127287797120346,0.47008213996887205,291840,0.19588522886837081,16,15,0.8261203765869141,2.747465133666992,4.4410295486450195,64,4,0.9133220953619637,15.79899625262087,,0.5893730398246578,1.1661009805062756,14.565496563060224,16.71660045110005
2320,4.941052243858576,139.91739935186925,0.000297736141940328,1.7878693342208862,19.546213150024414,2.0464322011115508,0.48865532875061035,296960,0.1993218118309738,22,23,0.8415651321411133,2.747465133666992,4.7028281688690186,64,4,0.34661317340407827,12.047461954038043,,0.17427327094510187,0.5859048605132251,10.257064561190884,13.436789775492707
2360,4.835359869152308,125.8838767805303,0.0002976369347259563,1.9120370149612427,18.692567348480225,2.1398879701376146,0.4673141837120056,302080,0.20275839479357682,14,16,0.8279666900634766,2.747465133666992,4.2810142040252686,64,4,0.3572459572458102,9.193640362310191,,0.28242077766267987,0.3926862460105766,7.785514620098816,10.526284404679437
